0 2321 1031 350 401 2019 90 0 124 13
0 1781 0 88 399 2016 94 0 16 11
1 1333 0 77 400 2013 0 1 2 14
1 2169 0 77 400 2016 0 1 2 12
0 758 713 77 399 2017 99 0 5 10
1 293 0 6 399 2016 0 1 431 11
0 410 467 330 399 2014 110 0 322 2
0 2177 1270 4 399 2017 60 0 16 11
1 685 0 77 399 2017 0 1 92 11
0 600 753 389 399 2014 90 0 86 2
0 1949 1033 0 399 2017 78 0 16 11
0 1587 717 406 399 2015 95 0 315 2
0 1676 0 0 399 2009 58 0 50 12
0 2356 1154 0 399 2013 62 0 50 12
0 2495 1154 0 399 2016 65 0 50 9
0 2376 390 0 399 2012 61 0 50 12
0 2547 390 0 399 2017 65 0 50 12
0 2080 0 0 399 2010 58 0 50 12
0 2454 1154 0 399 2013 60 0 50 12
0 94 287 90 399 2015 135 0 197 4
0 1182 199 77 399 2014 98 0 285 10
0 720 1020 90 399 2015 96 0 347 2
0 915 436 184 399 2015 79 0 15 11
0 1341 443 77 399 2014 113 0 57 8
0 527 393 77 399 2015 90 0 68 2
0 222 422 77 397 2015 80 0 253 4
1 941 0 0 399 2015 0 1 371 10
0 557 621 85 399 2018 77 0 15 11
1 836 0 0 399 2018 0 1 9 11
0 460 771 35 399 2011 112 0 163 11
0 329 1083 231 399 2018 106 0 324 13
0 1668 269 77 399 2018 106 0 62 8
0 2378 651 345 399 2018 102 0 217 11
0 978 746 90 398 2016 114 0 335 2
1 1728 0 0 399 2019 0 1 24 12
0 424 448 4 399 2019 125 0 217 11
0 1457 542 0 399 2018 142 0 157 10
0 1427 646 4 399 2018 133 0 106 10
0 1098 751 0 399 2019 100 0 324 10
1 257 0 10 399 2019 0 1 286 11
0 679 1064 77 398 2015 86 0 311 2
0 9 649 4 398 2014 146 0 193 10
0 387 1253 88 397 2015 79 0 68 11
0 542 114 88 396 2015 102 0 15 13
0 2524 0 0 398 2019 0 10 15 6
0 22 487 144 397 2012 122 0 324 10
0 1866 993 35 397 2009 126 0 324 10
0 1792 487 35 397 2014 116 0 324 10
0 228 1015 35 397 2016 135 0 293 13
0 278 1368 35 397 2009 125 0 163 11
0 351 1335 35 397 2004 96 0 163 11
0 405 938 35 397 2011 130 0 106 11
0 692 497 77 396 2016 98 0 18 10
0 1256 397 77 396 2017 70 0 16 11
1 651 0 77 396 2016 0 1 186 10
0 223 232 39 397 2016 128 0 335 10
0 694 498 9 397 2017 88 0 11 11
0 1005 239 77 397 2019 108 0 48 3
0 401 88 4 397 2019 93 0 193 10
0 773 373 77 396 2018 135 0 123 8
0 163 167 167 396 2015 88 0 324 2
1 518 0 77 395 2016 0 1 161 10
0 1448 189 88 416 2019 64 0 16 11
1 1498 0 77 415 2018 0 1 8 10
1 94 0 77 415 2016 0 1 2 12
0 569 190 261 415 2012 107 0 103 3
1 2511 0 77 415 2018 0 1 9 11
1 689 0 77 415 2016 0 1 9 13
1 702 0 77 415 2017 0 1 9 10
1 812 0 77 415 2015 0 1 9 13
1 673 0 77 415 2017 0 1 24 12
0 423 132 54 414 2017 130 0 88 11
1 1770 0 88 414 2017 0 1 364 10
0 588 1162 173 413 2016 92 0 15 11
1 414 0 0 395 2014 0 1 351 10
0 1188 624 261 395 2018 96 0 22 11
0 995 1135 161 423 2010 112 0 221 4
0 800 875 13 423 2018 111 0 335 11
0 705 422 77 422 2017 103 0 57 11
0 428 586 77 422 2017 40 0 15 10
1 227 0 0 422 2015 0 1 265 13
0 1177 361 77 422 2017 103 0 48 10
0 848 391 0 422 2017 85 0 176 10
1 2422 0 88 422 2017 0 1 364 10
1 415 0 0 422 2014 0 1 114 10
